ParticipantID,BatteryChargeStartDate,BatteryChargeStopDate,Starting SoC (of 12),Ending SoC (of 12)
GC10,2014-06-03 12:37 ,2014-06-03 14:49 ,10,12
GC10,2014-06-04 06:02 ,2014-06-04 15:03 ,3,12
GC10,2014-06-05 07:10 ,2014-06-05 09:05 ,8,10
GC10,2014-06-05 09:05 ,2014-06-05 10:56 ,10,12
GC10,2014-06-05 13:32 ,2014-06-05 15:02 ,11,12
GC10,2014-06-06 10:29 ,2014-06-06 17:03 ,6,12
GC10,2014-06-08 00:13 ,2014-06-08 10:17 ,2,12
GC10,2014-06-08 20:30 ,2014-06-08 22:21 ,11,12
GC10,2014-06-09 14:57 ,2014-06-09 17:07 ,11,12
GC10,2014-06-10 14:46 ,2014-06-10 15:32 ,12,12
GC10,2014-06-10 19:19 ,2014-06-10 19:46 ,12,12
GC10,2014-06-11 09:30 ,2014-06-11 13:31 ,7,12
GC10,2014-06-11 15:24 ,2014-06-11 16:56 ,12,12
GC10,2014-06-12 11:24 ,2014-06-12 16:34 ,6,12
GC10,2014-06-15 19:50 ,2014-06-16 00:46 ,4,9
GC10,2014-06-16 07:27 ,2014-06-16 07:38 ,10,10
GC10,2014-06-19 20:05 ,2014-06-19 20:43 ,3,11
GC10,2014-06-21 20:38 ,2014-06-21 20:39 ,2,2
GC10,2014-06-21 20:39 ,2014-06-22 06:20 ,2,12
GC10,2014-06-23 12:42 ,2014-06-23 14:03 ,7,8
GC10,2014-06-23 23:39 ,2014-06-24 00:15 ,3,10
GC10,2014-06-24 15:13 ,2014-06-24 15:56 ,3,11
GC10,2014-06-24 20:55 ,2014-06-24 21:39 ,6,7
GC10,2014-06-24 21:41 ,2014-06-25 03:08 ,7,12
GC10,2014-06-25 07:30 ,2014-06-25 09:36 ,10,12
GC10,2014-06-25 10:51 ,2014-06-25 12:21 ,12,12
GC10,2014-06-25 22:22 ,2014-06-26 03:58 ,7,12
GC10,2014-06-26 10:29 ,2014-06-26 13:16 ,10,12
GC10,2014-06-26 17:36 ,2014-06-26 18:44 ,12,12
GC10,2014-06-27 17:19 ,2014-06-27 17:54 ,12,12
GC10,2014-06-28 09:15 ,2014-06-28 10:13 ,5,12
GC10,2014-06-29 00:31 ,2014-06-29 07:52 ,5,12
GC10,2014-06-29 21:18 ,2014-06-30 04:19 ,5,12
GC10,2014-06-30 08:03 ,2014-06-30 11:02 ,10,12
GC10,2014-06-30 19:44 ,2014-06-30 22:51 ,9,12
GC10,2014-07-01 15:15 ,2014-07-01 16:06 ,1,11
GC10,2014-07-01 20:25 ,2014-07-02 01:29 ,7,12
GC10,2014-07-02 08:02 ,2014-07-02 08:42 ,10,10
GC10,2014-07-02 10:12 ,2014-07-02 15:20 ,7,12
GC10,2014-07-02 15:23 ,2014-07-02 15:48 ,12,12
GC10,2014-07-02 20:11 ,2014-07-02 20:11 ,9,9
GC10,2014-07-03 07:41 ,2014-07-03 10:44 ,10,12
GC10,2014-07-03 19:04 ,2014-07-03 20:37 ,1,2
GC10,2014-07-03 20:37 ,2014-07-03 21:38 ,2,3
GC10,2014-07-03 21:49 ,2014-07-04 06:35 ,3,12
GC10,2014-07-04 07:42 ,2014-07-04 08:23 ,10,10
GC10,2014-07-04 10:32 ,2014-07-04 12:28 ,10,12
GC10,2014-07-04 14:23 ,2014-07-04 14:58 ,12,12
GC10,2014-07-04 23:42 ,2014-07-05 06:01 ,6,12
GC10,2014-07-05 22:52 ,2014-07-06 04:53 ,6,12
GC10,2014-07-06 21:13 ,2014-07-07 02:53 ,6,12
GC10,2014-07-08 11:10 ,2014-07-08 14:57 ,4,8
GC10,2014-07-08 19:26 ,2014-07-09 03:08 ,4,12
GC10,2014-07-09 06:38 ,2014-07-09 09:16 ,10,12
GC10,2014-07-09 22:49 ,2014-07-10 05:41 ,6,12
GC10,2014-07-10 08:09 ,2014-07-10 10:58 ,10,12
GC10,2014-07-11 00:34 ,2014-07-11 01:07 ,12,12
GC10,2014-07-11 22:56 ,2014-07-12 09:37 ,1,12
GC10,2014-07-12 12:22 ,2014-07-12 15:23 ,10,12
