ParticipantID,ICB_ID,MC_ID,DistanceFromSubstation,ExpectedPhase,ActualPhase,EVDeliveryDate,LeaseEndDate,DecommissionDate,ParticipantExitDate,Location
ST1003,NULL,NULL,NULL,NULL,NULL,2014-02-14,2015-08-14,NULL,NULL,SP5
ST1004,NULL,NULL,NULL,NULL,NULL,2014-01-15,2015-07-15,NULL,NULL,BH22
ST1005,NULL,NULL,NULL,NULL,NULL,2014-01-15,2015-07-15,NULL,NULL,SO53
ST1006,NULL,NULL,NULL,NULL,NULL,2014-04-08,2015-10-08,NULL,NULL,SO53
ST1007,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,KW17
ST1008,NULL,NULL,NULL,NULL,NULL,2014-07-24,2016-01-24,NULL,NULL,W4
ST1009,NULL,NULL,NULL,NULL,NULL,2014-05-20,2015-11-20,NULL,NULL,OX11
ST1010,NULL,NULL,NULL,NULL,NULL,2014-02-14,2015-08-14,NULL,NULL,NN17
ST1011,NULL,NULL,NULL,NULL,NULL,2014-01-26,2015-07-26,NULL,NULL,BS25
ST1012,NULL,NULL,NULL,NULL,NULL,2014-03-17,2015-09-17,NULL,NULL,RG12
ST1013,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,KW17
ST1014,NULL,NULL,NULL,NULL,NULL,2013-12-31,2015-06-30,NULL,NULL,NE16
ST1015,NULL,NULL,NULL,NULL,NULL,2014-01-31,2015-07-31,NULL,NULL,HP14
ST1017,NULL,NULL,NULL,NULL,NULL,2014-02-07,2015-08-07,NULL,NULL,CW8
ST1018,NULL,NULL,NULL,NULL,NULL,2014-01-08,2015-07-08,NULL,NULL,GU51
ST1019,NULL,NULL,NULL,NULL,NULL,2014-02-07,2015-08-07,NULL,NULL,SW19
ST1020,NULL,NULL,NULL,NULL,NULL,2014-03-14,2015-09-14,NULL,NULL,LS14
ST1021,NULL,NULL,NULL,NULL,NULL,2014-02-12,2015-08-12,NULL,NULL,SL6
ST1022,NULL,NULL,NULL,NULL,NULL,2014-01-03,2015-07-03,NULL,NULL,SL7
ST1023,NULL,NULL,NULL,NULL,NULL,2014-02-12,2015-08-12,NULL,NULL,SW20
ST1026,NULL,NULL,NULL,NULL,NULL,2014-03-08,2015-09-08,NULL,NULL,PL25
ST1027,NULL,NULL,NULL,NULL,NULL,2014-03-07,2015-09-07,NULL,NULL,SL6
ST1028,NULL,NULL,NULL,NULL,NULL,2014-03-05,2015-09-05,NULL,NULL,NG25
ST1029,NULL,NULL,NULL,NULL,NULL,2014-02-07,2015-08-07,NULL,NULL,TS22
ST1030,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,KW17
ST1032,NULL,NULL,NULL,NULL,NULL,2014-02-12,2015-08-12,NULL,NULL,DY11
ST1034,NULL,NULL,NULL,NULL,NULL,2014-05-06,2015-11-06,NULL,NULL,SL2
ST1035,NULL,NULL,NULL,NULL,NULL,2014-03-20,2015-09-20,NULL,NULL,NE41
ST1036,NULL,NULL,NULL,NULL,NULL,2014-04-16,2015-10-16,NULL,NULL,SS14
ST1037,NULL,NULL,NULL,NULL,NULL,2014-04-04,2015-10-04,NULL,NULL,NG25
ST1038,NULL,NULL,NULL,NULL,NULL,2014-03-21,2015-09-21,NULL,NULL,NE20
ST1039,NULL,NULL,NULL,NULL,NULL,2014-04-14,2015-10-14,NULL,NULL,SL6
ST1041,NULL,NULL,NULL,NULL,NULL,2014-04-16,2015-10-16,NULL,NULL,MK3
ST1042,NULL,NULL,NULL,NULL,NULL,2014-05-10,2015-11-10,NULL,NULL,KW16
ST1043,NULL,NULL,NULL,NULL,NULL,2014-05-17,2015-10-16,NULL,NULL,SL6
ST1044,NULL,NULL,NULL,NULL,NULL,2014-04-09,2015-10-09,NULL,NULL,TS7
ST1045,NULL,NULL,NULL,NULL,NULL,2014-04-14,2015-10-14,NULL,NULL,CB6
ST1046,NULL,NULL,NULL,NULL,NULL,2014-04-02,2015-10-02,NULL,NULL,WC2A
ST1047,NULL,NULL,NULL,NULL,NULL,2014-04-17,2015-10-17,NULL,NULL,BR1
ST1048,NULL,NULL,NULL,NULL,NULL,2014-02-28,2015-08-28,NULL,NULL,KW15
ST1049,NULL,NULL,NULL,NULL,NULL,2014-05-13,2015-11-13,NULL,NULL,NW2
ST1050,NULL,NULL,NULL,NULL,NULL,2014-05-08,2015-11-08,NULL,NULL,CH4
ST1051,NULL,NULL,NULL,NULL,NULL,2014-05-29,2015-10-29,NULL,NULL,BN44
ST1052,NULL,NULL,NULL,NULL,NULL,2014-04-11,2015-10-11,NULL,NULL,TS16
ST1053,NULL,NULL,NULL,NULL,NULL,2014-04-30,2015-10-30,NULL,NULL,HD1
ST1054,NULL,NULL,NULL,NULL,NULL,2014-06-09,2015-12-09,NULL,NULL,N22
ST1055,NULL,NULL,NULL,NULL,NULL,2014-05-07,2015-11-07,NULL,NULL,PA65
ST1056,NULL,NULL,NULL,NULL,NULL,2014-04-17,2015-10-19,NULL,NULL,HG5
ST1057,NULL,NULL,NULL,NULL,NULL,2014-04-10,2015-10-10,NULL,NULL,PO7
ST1058,NULL,NULL,NULL,NULL,NULL,2014-05-08,2015-11-07,NULL,NULL,OX49
ST1059,NULL,NULL,NULL,NULL,NULL,2014-04-04,2015-10-04,NULL,NULL,CA7
